,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,Location,latitude,longitude
71,40010,Austin-Forest Park,01/01/2001,1480.8,661.5,394.0,37193,"(41.870851, -87.776812)",41.97766526,-87.90422307
72,40180,Oak Park-Forest Park,01/01/2001,1384.1,397.5,210.2,33092,"(41.872108, -87.791602)",41.816462,-87.619021
73,40980,Harlem-Forest Park,01/01/2001,785.7,377.0,233.4,19961,"(41.87349, -87.806961)",,
74,40390,Forest Park,01/01/2001,3516.4,1220.5,736.8,85926,"(41.874257, -87.817318)",,
75,41030,Polk,01/01/2001,2379.7,7.3,0.0,52383,"(41.871551, -87.66953)",,
76,40830,18th,01/01/2001,967.3,5.0,0.0,21301,"(41.857908, -87.669147)",41.831191,-87.630636
77,40210,Damen-Cermak,01/01/2001,657.9,0.8,0.0,14477,"(41.854517, -87.675975)",,
78,40740,Western-Cermak,01/01/2001,523.9,1.3,0.0,11530,"(41.854225, -87.685129)",41.929728,-87.708541
79,40440,California-Cermak,01/01/2001,779.7,1.0,0.0,17157,"(41.854109, -87.694774)",,
80,41040,Kedzie-Cermak,01/01/2001,444.9,0.3,0.0,9789,"(41.853964, -87.705408)",41.909744,-87.677437
81,40780,Central Park,01/01/2001,453.0,2.3,0.0,9974,"(41.853839, -87.714842)",,
82,40150,Pulaski-Cermak,01/01/2001,459.3,2.3,0.0,10114,"(41.853732, -87.724311)",,
83,40600,Kostner,01/01/2001,303.2,0.5,0.0,6673,"(41.853751, -87.733258)",41.885269,-87.666969
84,40420,Cicero-Cermak,01/01/2001,845.6,4.5,0.0,18621,"(41.85182, -87.745336)",41.952925,-87.729229
85,40580,54th/Cermak,01/01/2001,1547.3,4.0,0.0,34057,"(41.85177331, -87.75669201)",41.964273,-87.657588
86,40020,Harlem-Lake,01/01/2001,3269.7,1637.0,825.6,82609,"(41.886848, -87.803176)",41.853206,-87.630968
87,41350,Oak Park-Lake,01/01/2001,1362.5,480.8,285.8,33326,"(41.886988, -87.793783)",41.875568,-87.631722
88,40610,Ridgeland,01/01/2001,1247.2,369.3,184.2,29837,"(41.887159, -87.783661)",41.990259,-87.659076
89,41260,Austin-Lake,01/01/2001,1972.5,927.8,513.2,49673,"(41.887293, -87.774135)",,
90,40280,Central-Lake,01/01/2001,2224.3,1295.5,786.0,58047,"(41.887389, -87.76565)",41.993664,-87.659202
91,40700,Laramie,01/01/2001,1296.8,659.5,373.8,33036,"(41.887163, -87.754986)",,
92,40480,Cicero-Lake,01/01/2001,1291.3,712.8,463.2,33576,"(41.886519, -87.744698)",41.947428,-87.653626
93,40030,Pulaski-Lake,01/01/2001,1509.8,884.3,561.0,39558,"(41.885412, -87.725404)",,
94,41070,Kedzie-Lake,01/01/2001,1168.9,626.0,404.0,30240,"(41.884321, -87.706155)",,
95,41360,California-Lake,01/01/2001,756.8,380.8,255.4,19449,"(41.88422, -87.696234)",,
96,40170,Ashland-Lake,01/01/2001,1408.4,538.5,330.2,34790,"(41.885269, -87.666969)",,
97,41160,Clinton-Lake,01/01/2001,1816.0,405.8,253.0,42841,"(41.885678, -87.641782)",41.887389,-87.76565
98,41120,35-Bronzeville-IIT,01/01/2001,1743.8,912.5,576.0,44893,"(41.831677, -87.625826)",41.884904,-87.716523
99,40300,Indiana,01/01/2001,568.8,317.5,224.8,14908,"(41.821732, -87.621371)",,
100,41270,43rd,01/01/2001,764.4,430.0,267.0,19871,"(41.816462, -87.619021)",42.058282,-87.683337
101,41080,47th-South Elevated,01/01/2001,1242.1,789.3,468.4,32826,"(41.809209, -87.618826)",,
102,40130,51st,01/01/2001,1116.7,700.0,448.4,29609,"(41.80209, -87.618487)",41.809209,-87.618826
103,40510,Garfield-South Elevated,01/01/2001,720.8,495.0,304.2,19359,"(41.795172, -87.618327)",,
104,41140,King Drive,01/01/2001,697.8,396.0,220.8,18039,"(41.78013, -87.615546)",,
105,40720,East 63rd-Cottage Grove,01/01/2001,1400.0,716.8,460.4,35969,"(41.780309, -87.605857)",42.015876,-87.669092
106,40940,Halsted/63rd,01/01/2001,707.6,461.5,271.2,18770,"(41.778943, -87.644244)",41.84678,-87.648088
